"","Plot","trees_BA","trees_ab","lianas_BA","lianas_ab","geo","dist","Tree_cov","Regen","Palm_cov","Bare_soil","native","exotic","brom","PAR","SOM","Al","Mn","local"
"1","BL1",0.305975378094169,88,0.0041869576090718,5,"East","Edge",75.2,7.2,0.4,15.2,2,0,0,3.13,1.23,1.09,0.62,"East_Edge"
"2","BL10",0.208371619806275,51,0.000428827397215007,3,"East","Edge",100,10,4,0,10.4,0,0,3.21,1.32,1.17,0.73,"East_Edge"
"3","BL2",0.168807690390419,67,0.00186924762888593,8,"East","Edge",76,5.4,0.2,14.4,4,0,0,3.18,1.18,1.12,0.46,"East_Edge"
"4","BL3",0.193397129098117,75,0.00011702432634622,3,"East","Edge",73.9,3.1,1,20,2,0,0,3.09,1.28,1.12,0.62,"East_Edge"
"5","BL5",0.209686637523572,62,0.00212214583749991,8,"East","Edge",100,8.4,6,0,19,8,0,3.21,1.28,1.11,0.63,"East_Edge"
"6","BL6",0.11565789714488,47,0.00111762158651457,6,"East","Edge",100,13.6,16.4,0,25.6,0,0,3.23,1.28,1.13,0.66,"East_Edge"
"7","BL7",0.231701745026759,61,2.82743338823081e-05,1,"East","Edge",100,0.6,3.2,0,12,0,0,3.23,1.32,1.09,0.76,"East_Edge"
"8","BL8",0.187172181386435,49,0.0018150551556115,4,"East","Edge",44,11.4,0,18,17.6,0,0,3.1,1.28,1.1,0.74,"East_Edge"
"9","BL9",0.15570327026359,64,0.00696412551484518,7,"East","Edge",100,5.6,6.4,0,4.4,0,0,3.2,1.32,1.12,0.74,"East_Edge"
"10","BS1",0.243515020677754,51,0.0256126195065542,26,"South","Edge",100,20,2,0,20,0,0,2.07,1.23,1.01,1.1,"South_Edge"
"11","BS10",0.122708461123851,24,0.00383588463003314,15,"South","Edge",64,5.4,0,0,34.8,0,0,2.24,1.4,1.05,0.83,"South_Edge"
"12","BS2",0.265351078869963,37,0.0221168122812721,19,"South","Edge",100,4.8,7.6,0,0,0,0,2.64,1.28,1.05,0.76,"South_Edge"
"13","BS3",0.111989375706612,54,0.000656592864600267,4,"South","Edge",100,4.8,4,0,0,52.4,0,2.85,1.32,1.09,0.66,"South_Edge"
"14","BS4",0.143923815038001,42,0.0612830478935761,7,"South","Edge",100,25.2,0,0,12,0.8,0,2.12,1.4,1.15,0.76,"South_Edge"
"15","BS5",0.974784237702086,60,0.00626355035309465,10,"South","Edge",100,14.4,0,0,7.8,0,0,2.49,1.41,1.26,0.77,"South_Edge"
"16","BS6",0.383173483240893,84,0.017358084809247,19,"South","Edge",28,13.6,0,0,2,0,0,1.69,1.41,1.19,0.83,"South_Edge"
"17","BS7",0.244732555992407,77,0.00403694655986288,8,"South","Edge",100,4,0,0,4.8,1.2,1.6,1.79,1.41,1.26,0.67,"South_Edge"
"18","BS8",0.458461729070514,69,0.00185903745276176,7,"South","Edge",100,26.4,0,0,3.2,0,0,2.08,1.32,1.2,0.83,"South_Edge"
"19","BS9",0.396303766045974,50,0.0185526754157745,23,"South","Edge",100,23.2,0,0,6,0,0,2.45,1.18,1.06,0.91,"South_Edge"
"20","IL1",0.267905038241758,116,0.00133517687777566,2,"East","Interior",100,10.4,1.2,0,34.2,0,2.8,2.32,1.32,1.16,0.7,"East_Interior"
"21","IL2",0.250030426160579,81,0.000132732289614169,1,"East","Interior",100,11,3.6,0,5.2,4.4,0,2.89,1.28,1.11,0.72,"East_Interior"
"22","IL4",0.250034405034156,121,0.00173651533927176,3,"East","Interior",80,7.4,0,0,9.2,1.6,0,2.79,1.32,1.1,0.81,"East_Interior"
"23","IL5",0.289548598530297,122,0.000128805298797182,2,"East","Interior",100,7.6,2.8,0,9,0,0,2.73,1.45,1.21,0.7,"East_Interior"
"24","IL8",0.341407247300002,110,0.00256982279063645,6,"East","Interior",100,23.2,4.4,0,2.4,0,6.4,2.83,1.4,1.2,0.72,"East_Interior"
"25","IS1",0.240403541540308,86,0.0018158405537749,6,"South","Interior",100,10.8,0.2,0,15.2,0,2.4,1.99,1.36,1.23,0.7,"South_Interior"
"26","IS2",0.454395320274516,58,0.00160378304965759,2,"South","Interior",100,10.8,2.8,0,12,0,4.8,1.92,1.4,1.2,0.71,"South_Interior"
"27","IS3",0.307272490880368,127,0.000490873852123405,1,"South","Interior",100,14.6,1.6,0,12.6,0,0,2.25,1.32,1.2,0.54,"South_Interior"
"28","IS4",0.360382495390133,81,0.00273397100678652,1,"South","Interior",100,13.2,3.2,0,9.6,0,3.6,2.4,1.41,1.23,0.75,"South_Interior"
"29","IS5",0.242671499479367,107,0.000549778714378214,4,"South","Interior",100,4.8,1.2,0,3.6,0,0,2.28,1.41,1.24,0.65,"South_Interior"
"30","IS6",0.204848327253579,71,0.00554412563542259,6,"South","Interior",100,3.2,2.8,0,3.2,0,0,1.9,1.41,1.24,0.74,"South_Interior"
"31","IS7",0.228794461681299,207,0.000283528736986479,1,"South","Interior",100,4.8,4.8,0,0.4,0,2.4,1.92,1.4,1.17,0.62,"South_Interior"
"32","IS8",0.194232692549349,100,0.00142235607391278,5,"South","Interior",100,12.8,1.6,0,2.8,0,0,2.44,1.41,1.24,0.75,"South_Interior"
